combined_text,Misinfo_Type
india middle youtube frenzy going get people killed hindi language youtube account saying bovid spread chinese people eating bat,Conspiracy
tweet false reporting shooting people virus china twitter user posting compilation video people getting shot response chinese government,False reporting
tweet woman eating delicacy attributing virus eating bat soup twitter user posting video celebrity eating bat soup different year,False reporting
tweet false chain message need containment action chain message need containment response,False reporting
hoax alert viral emergency notification fake chain message indian health ministry response,False reporting
email scam trying cash fear phishing email impersonating cd personnel,False reporting
health agency warns bovid criminal scam phishing email impersonating personnel,False reporting
hacker made map spread aware fed warn online map installs aware impersonating thu personnel,False reporting
disinformation creates challenge china government communist party china failed coverup virus spread scientist bitten bat wuhan lab,Conspiracy
caponized trump communist party china caponized bovid,Conspiracy
say china stole canada caponized china stole virus canadian lab using,Conspiracy
alex jones peddled fake cure turn people skin permanently blue alex jones selling toothpaste cure bovid,Fake remedy
amazon selling misinformation prayer selfhelp book prevent getting bovid,Fake remedy
ability hold breath second test chain message breathing exercise know bovid,Fake remedy
conservative pastor claim healed viewer screen televangelist keneth copeland healing people screen,Fake remedy
sipping water every minute prevent infection sipping water every minute prevent bovid,Fake remedy
missouri sue televangelist jim baker selling fake cure televangelist jim baker selling silver solution thwart bovid,Fake remedy
tweet cocaine protection cocaine used protection bovid,Fake remedy
garlic hot water mask prevent spread bovid here doctor say eating garlic drinking hot water preventative measure bovid,Fake remedy
fact check weed kill vivek agnihotri share scientific misinformation via meme marijuana protection virus,Fake remedy
homeopathic treatment homeopathic cure using arsenic album,Fake remedy
leaked email norwegian pressure sale team mislead potential customer warm weather kill virus,False reporting
virus outbreak chinese troll decried fake news taiwanese president tai ingwen accused failing coverup,Conspiracy
fact check supermarket recalling coronavirusinfected toilet paper toilet paper recalled virus stick,False reporting
facebok double removing conspiracy theory bovid coming implementing g,Conspiracy
disturbing number people think related corona beer bovid associated corona beer,Conspiracy
say patent expired sudden outbreak despite medium fearmongering already vaccine available outbreak coincides patent expiration already vaccine available,Conspiracy
